Instance,N Jobs,N Machines,N Tasks,N Individuals,N Iterations,Mutation Prob.,Xover Prob.,Threshold,Xover type,Mutation type,Mode,Factor,Comparison Type,Peak Hours Avoided,Iteration,Tardiness,Energy,N Generations,Execution Time
1,2,2,8,200,10,15,100,25,GPMX,INV,0,1,0,0,1,224,136.61133333333365,32,3.472212314605713
1,2,2,8,200,10,15,100,25,GPMX,INV,0,1,0,0,2,224,136.61133333333365,27,2.9562599658966064
1,2,2,8,200,10,15,100,25,GPMX,INV,0,1,0,0,3,224,136.61133333333365,34,3.6384084224700928
1,2,2,8,200,10,15,100,25,GPMX,INV,0,1,0,0,4,224,136.61133333333365,30,3.2281997203826904
1,2,2,8,200,10,15,100,25,GPMX,INV,0,1,0,0,5,224,136.61133333333365,27,3.0100762844085693
1,2,2,8,200,10,15,100,25,GPMX,INV,0,1,0,0,6,224,136.61133333333365,33,3.5473101139068604
1,2,2,8,200,10,15,100,25,GPMX,INV,0,1,0,0,7,224,136.61133333333365,32,3.4536659717559814
1,2,2,8,200,10,15,100,25,GPMX,INV,0,1,0,0,8,224,136.61133333333365,33,3.5449488162994385
1,2,2,8,200,10,15,100,25,GPMX,INV,0,1,0,0,9,224,136.61133333333365,27,2.9627485275268555
1,2,2,8,200,10,15,100,25,GPMX,INV,0,1,0,0,10,224,136.61133333333365,32,3.4517974853515625
10,3,3,12,200,10,15,100,25,GPMX,INV,0,1,0,0,1,0,513.0644999999972,48,11.089050531387329
10,3,3,12,200,10,15,100,25,GPMX,INV,0,1,0,0,2,0,513.0644999999972,47,11.025415658950806
10,3,3,12,200,10,15,100,25,GPMX,INV,0,1,0,0,3,0,513.0644999999972,40,9.389728784561157
10,3,3,12,200,10,15,100,25,GPMX,INV,0,1,0,0,4,0,513.0644999999972,47,10.77861475944519
10,3,3,12,200,10,15,100,25,GPMX,INV,0,1,0,0,5,0,513.0644999999972,40,9.391563415527344
10,3,3,12,200,10,15,100,25,GPMX,INV,0,1,0,0,6,0,513.0644999999972,40,9.382503747940063
10,3,3,12,200,10,15,100,25,GPMX,INV,0,1,0,0,7,0,513.0644999999972,32,7.609506368637085
10,3,3,12,200,10,15,100,25,GPMX,INV,0,1,0,0,8,0,513.0644999999972,40,9.344269275665283
10,3,3,12,200,10,15,100,25,GPMX,INV,0,1,0,0,9,0,513.0644999999972,48,11.11956262588501
